id,Name,How to,Form check,Movement plane id,Muscles worked (primary),Muscles worked (secondary),Equipment,YT video,"Excercise type (reps, reps x weight, timed, timed x weight)",workout section
ab_scissors,Ab Scissors,"Lie on your back with the lower back pressed flat and both legs raised a few inches off the floor. Lower one leg toward the ground as the other rises, then switch in a steady scissoring rhythm.",Lower back stays pinned to the floor · Legs stay long · Raise the legs higher if the back arches,core_flexion,Abdominals,Other,Bodyweight,https://www.youtube.com/watch?v=59SqIavyG70,reps,strength
ab_wheel_eccentric,Ab Wheel (Eccentric),"Roll out from the knees through a longer range than you can return from, taking three to five seconds on the way out. Lower to the floor at the end and reset for the next rep.",Three to five seconds out · Go past your normal range · Reset from the floor each rep,core_anti_extension,Abdominals,Glutes; Lower Back,Ab wheel,https://www.youtube.com/watch?v=4f3zHK6iwz8,reps,strength
ab_wheel_kneeling,Ab Wheel (Kneeling),"Kneel with the wheel under your shoulders and grip the handles. Tuck the pelvis, then roll out as far as you can keep a flat back and pull yourself back with the abs.","Tuck the pelvis before rolling · Flat back, no arching · Pull back with the abs not the arms",core_anti_extension,Abdominals,Glutes; Lower Back,Ab wheel,https://www.youtube.com/watch?v=9j3Lw5JP1S4,reps,strength
ab_wheel_standing,Ab Wheel (Standing),"Start standing with the wheel on the floor in front of your feet. Roll out to full extension without letting the knees touch, then pull yourself all the way back to standing.",Knees never touch the floor · Flat back the whole way · Use a wall as a stop while learning,core_anti_extension,Abdominals,Glutes; Lower Back,Ab wheel,https://www.youtube.com/watch?v=jsj3ZE_kJcA,reps,strength
aerobics,Aerobics,"Follow a continuous routine of rhythmic, low impact movements that keeps the heart rate up for the whole session. Keep moving between moves rather than stopping so the effort stays steady.",Keep moving between moves · Land softly through the whole foot · Breathe in rhythm with the pace,cardio,Cardio,,Cardio equipment or open space,https://www.youtube.com/watch?v=mSX_hByjKFc,timed,warmup/cooldown
air_bike,Air Bike,"Lie on your back with hands lightly beside your head and lift your shoulders off the floor. Bring one knee toward your chest as you rotate the opposite elbow to meet it. Switch sides in a pedaling motion, extending the free leg out straight.",Twist elbow to opposite knee · Don't yank the neck · Fully straighten the free leg,cardio,Cardio,,Bodyweight,https://www.youtube.com/watch?v=CyBsbrcLFhw,timed,warmup/cooldown
arch_hang,Arch Hang,"Hang from the bar and pull the shoulder blades down, then arch the chest toward the bar while looking up. Hold briefly and return to a hollow hang.",Chest up toward the bar · Shoulders stay pulled down · Alternate hollow and arch,vertical_pull,Lats,Biceps; Upper Back; Forearms,Pull-up bar,https://www.youtube.com/watch?v=jwv_PwHNg1w,timed,strength
arnold_press_dumbbell,Arnold Press (Dumbbell),"Start with the dumbbells in front of the shoulders, palms facing you. Press overhead while rotating the palms to face forward, then reverse the rotation on the way down.",Rotate smoothly through the press · keep the core braced · don't flare or bounce at the bottom · control the full range,vertical_push,Shoulders,Triceps; Chest,Dumbbell,https://www.youtube.com/watch?v=hA1K5OalcdU,reps x weight,strength
around_the_world,Around The World,"Lie on a bench holding a light dumbbell in each hand at your hips, palms up. Sweep both arms out and around in a wide arc until they meet above your head, then trace the same path back.","Keep a soft bend in the elbows · Go light, the leverage is long · Trace the same arc on the way back",iso_chest,Chest,Shoulders; Biceps,Bodyweight,https://www.youtube.com/watch?v=pq39BMMafbg,reps,strength
assisted_pistol_squats,Assisted Pistol Squats,Hold a doorframe or strap for light assistance and lower on one leg with the other held out in front. Use the hands only as much as needed to reach the bottom.,Free leg stays off the floor · Least assistance that works · Heel stays down,squat,Quadriceps,Glutes; Hamstrings; Calves,Bodyweight,https://www.youtube.com/watch?v=tiA23NSUm7A,reps,strength
